,Source,Target,value,nb_transactions
0,353,62,1013574108,1
1,353,2210,4097277524,2
2,867,655,50172140,1
3,762,382,3441679755,5
4,984,340,3262242752,31
5,4,762,15517584,5
6,85,912,10110648,1
7,984,93,82410443,2
8,575,113,21199000,1
9,176,1629,3489430,1
10,2636,2267,132639036,1
11,68,736,155160201,1
12,486,113,177330388,3
13,43,2362,4056281,2
14,157,270,103016463,1
15,38,2229,34191988272,6
16,12,43,8070000,1
17,1171,428,131024229,1
18,478,2133,1312249,1
19,1945,2210,8606630,1
20,376,2210,2382854155,18
21,116,119,1679438590,2
22,5,79,735597328,1
23,481,2625,494370087,2
24,119,2041,480923653,2
25,115,484,2202000,1
26,47,1,1762851914,1
27,367,2233,8390000,1
28,12,142,114776079,1
29,233,102,27990000,1
30,382,652,286713248,1
31,2809,470,11012408,2
32,541,1320,1176564,1
33,418,283,119235415,3
34,564,2129,9980000,1
35,984,44,125374361,2
36,386,2636,1212248,1
37,105,486,1722763695,1
38,0,116,1880811,1
39,2027,2031,41514832,1
40,12,2047,311540000,3
41,216,82,23887755,1
42,12,450,115681206,1
43,64,2,138298378,1
44,1875,2519,80000,2
45,2082,12,15512436,2
46,85,422,80580641,1
47,67,1,1050071,3
48,400,2210,3413961187,1
49,45,69,487479800,1
50,639,589,2397904,1
51,2,1305,2341017745,11
52,60,103,4138206720,3
53,489,91,123990000,1
54,919,2041,563854934,1
55,1794,93,68920000,4
56,55,119,3768106668,3
57,56,590,239979400,1
58,1491,529,20995649,1
59,39,944,9764705,1
60,977,241,37930000,1
61,40,146,200480322,1
62,317,1339,16784679,1
63,73,2636,979005277,3
64,2772,1287,387714649,1
65,353,1603,39682083887,8
66,317,900,6196006,1
67,1010,213,8770000,1
68,1919,93,44236304,1
69,38,759,165906681262,5
70,468,1892,28457428,1
71,0,270,14599376,1
72,2372,48,7413448496,3
73,291,2225,16403882,1
74,302,1440,97023,1
75,28,1107,1187910810,2
76,28,468,9334869,1
77,113,268,50159045,3
78,297,1107,1293509644,1
79,324,2293,3573681,1
80,2703,307,8774105,1
81,38,323,5698664712,1
82,11,1776,29366400,2
83,617,960,298890000,1
84,12,56,78590684,1
85,116,575,1323357483,1
86,889,146,64570000,1
87,2759,400,249333000,1
88,984,2304,15634000,1
89,12,250,140553365,1
90,2,28,194531005,1
91,1190,428,69905262,1
92,28,1107,175858676,3
93,19,570,41632493067,3
94,479,103,4505498,1
95,291,73,114827174,7
96,479,8,1280000,1
97,75,396,75747380,11
98,441,1678,11119970252,1
99,38,79,4341959938,1
100,762,225,154732324,1
101,38,304,449701173,1
102,55,63,1325570571,2
