,Source,Target,value,nb_transactions
0,253,56,5641762,2
1,384,894,13374951,1
2,148,762,124133503,1
3,12,662,272951548,7
4,2,2187,2495065917,25
5,319,447,52950591,1
6,833,894,8017397,1
7,6,2,48891298,3
8,839,850,197160223,1
9,1833,2,99975690,1
10,7,894,772798,1
11,3,2182,175593738,6
12,33,185,2588419157,1
13,528,894,107408000,3
14,376,2210,5619518147,47
15,8,166,5545788434,3
16,38,1966,6824743141,2
17,3,575,24993869,1
18,559,44,163389379,1
19,38,936,393985,1
20,202,353,6519080212200,20
21,3,2215,57944434,4
22,1761,870,49740090,1
23,185,56,1883426780,8
24,86,56,190521556,8
25,3070,2335,633031,1
26,0,2228,9954000,1
27,89,2231,24262694995,2
28,132,2291,735310,1
29,653,484,1280523,1
30,156,2276,6124614,1
31,124,366,61687430,2
32,369,2405,81962206,1
33,150,2335,2427515,1
34,374,2246,1365208274,7
35,30,0,98690289,13
36,298,2782,1378049898,1
37,551,132,58476600910,5
38,517,2182,2835073,1
39,0,71,10451476,2
40,13,2224,45522310,1
41,11,5,861293613,3
42,94,2,199963700,1
43,73,662,8576915,3
44,2248,2204,164354104,1
45,176,152,28314537924,6
46,1,98,181270893,1
47,11,146,925880392,1
48,835,126,20783745323,3
49,278,2408,51904046,1
50,854,2182,2071044,1
51,46,282,25161304,1
52,0,175,1179400,1
53,190,2210,63217874,1
54,638,662,4982508,1
55,113,1641,24169348,4
56,21,0,84196946,1
57,138,1815,213252250,1
58,6,2182,18472332,1
59,2,239,676873803,8
60,1051,2693,1059178557,1
61,156,20,3670591681,1
62,11,630,235722715,1
63,239,85,1281420,1
64,38,538,3716488066,2
65,56,2156,44975011712,2
66,649,5,2823983390,5
67,38,63,2473010474,3
68,184,79,117951330,1
69,40,464,28503804585,3
70,14,1,18153044,1
71,1,665,52125031872,106
72,1,146,415844622,1
73,194,1089,15165981,2
74,983,0,2247633,2
75,182,148,37239324606,5
76,103,2210,10974310,1
77,2,2276,60076466,2
78,11,82,1618931426,3
79,82,2187,1149840,1
80,227,984,29985292,1
81,665,64,64124459479,91
82,54,145,8675910,1
83,515,1083,572238595,6
84,38,272,443329509,1
85,648,961,12667871151,3
86,152,2187,1237401717,8
87,409,1089,23981945,1
88,268,188,5979460,1
89,2248,95,19572711,1
90,162,665,882498668,3
91,73,2,44540569,1
92,1083,2,29568830,5
93,56,2289,234424133756,3
94,923,665,17481701,4
95,484,1641,5027354,2
96,489,12,5296564,1
97,239,839,7932290,4
98,23,984,108371989,2
99,498,1440,201106221,1
100,76,2182,144914904,2
101,839,1310,104350011,1
102,67,2187,45860000,1
103,76,2,3284298090,10
104,1039,2224,5782530,1
105,921,188,927110,1
106,233,188,25119310,1
107,0,38,1576039899,11
108,132,249,15346865,1
109,23,915,75613937,3
110,839,2702,9695084,1
111,286,2187,10028571,1
112,0,772,1915720,3
113,2,1457,23627009,1
114,275,188,5198003,2
115,152,175,117785913,1
116,2,665,38561040132,53
117,632,61,8368982365,1
118,126,74,6723753,1
119,244,778,2902728800,2
120,244,675,104289512054,78
121,162,648,2243713170,2
122,12,2027,29659653071,2
123,176,2305,25590592701,9
124,2,252,48885756,2
125,8,2187,13095689844,7
126,25,410,255471281,1
127,221,0,2130967,1
128,1233,0,11727568,1
129,633,894,34277153,1
130,12,126,35934907,8
131,484,79,1971700,1
132,466,2248,141381310,1
133,54,12,704751274,2
134,52,564,302984277,1
135,105,2305,960725236,1
136,1931,38,107521380,2
137,1054,79,2800,1
138,101,2309,7763904,1
139,376,691,550727300,1
140,61,71,5972917,1
141,457,32,1524630,1
142,12,2363,389678593,3
143,2,290,47145779,1
144,56,23,659773977432,12
145,25,0,18756770,5
146,298,1209,536082625,1
147,509,376,57150000,2
148,427,0,138982076,2
149,376,82,1013200,1
150,227,461,7187877,1
151,247,376,35659020,3
152,127,188,730549,1
153,11,30,3260865939,6
154,3,2,14765063,1
155,85,2187,38960707,24
156,369,1,607821624,1
157,150,1478,1345926035,1
158,286,56,1605942419,3
159,67,286,5755981,1
160,2,246,2891097,1
161,374,656,455260359,1
162,59,2210,5856147,1
163,225,30,38933050,1
164,0,18,849161,3
165,285,340,59878951,1
166,38,376,60158,1
167,677,2,50124628,1
168,12,154,29648742461,1
169,8,225,16296948473,4
170,2248,29,204591718,2
171,2685,2323,31141771,1
172,22,0,524996292765,15
173,839,82,412420194,1
174,170,894,8745154,2
175,44,1603,718005396,4
176,433,2194,1630601,1
177,885,188,4991602,1
178,252,239,1839522,1
179,2186,218,16400000000,3
180,239,665,31321546,3
181,5,102,1574322,1
182,822,565,5470570,1
183,965,2210,39474154,2
184,132,2204,9950000,1
185,150,2,54777192754,29
186,12,304,59616334628,3
187,1171,1089,11851005,1
188,148,1772,33979084085,2
189,22,779,34999752851,1
190,693,16,3019790000,1
191,839,1603,60801810,4
192,109,1089,12140930,1
193,364,2194,24476444,1
194,404,984,323600928,3
195,1665,2,88558429,1
196,56,1635,227028164754,3
197,847,894,27748310,1
198,12,762,118709870154,5
199,148,1679,2621592704,1
200,23,148,7334185,2
201,411,2228,1523178,1
202,12,1155,3543877,3
203,302,1042,387243548,5
204,484,73,5980331,1
205,11,1641,1731389309,6
206,162,79,200626386,1
207,1016,2215,300501,1
208,1,766,159525375,1
209,649,188,399950000,1
210,293,905,3103496,1
211,353,132,20170000,1
212,44,544,135532875,1
213,156,894,45087935755,15
214,2248,2962,107539772,3
215,8,709,905004206,1
216,285,1119,4599979021,1
217,244,59,115028190,1
218,278,95,331525777,1
219,61,105,22145647,1
220,79,148,172256562,1
221,63,44,9959585,1
222,725,538,154790950,1
223,177,44,246994709,3
224,64,478,187154872,1
225,41,894,484848234,8
226,66,478,1605925786,2
227,56,196,135184514901,2
228,8,2186,72288598561,10
229,296,276,22446580,1
230,202,61,25288104211635,145
231,252,2248,36170722,1
232,132,353,1328363463,1
233,4,2187,4988448,1
234,0,1350,1076000,1
235,2094,1457,22885310,1
236,73,2210,80293,1
237,707,188,473668951,3
238,294,0,64681385,11
239,364,188,5078227,1
240,417,188,9261710,1
241,88,894,14465694,2
242,74,894,21020781,1
243,408,323,137860,1
244,2,21,97529865,4
245,12,1466,29648742461,1
246,38,2248,37713689,6
247,44,414,1353531,1
248,56,1506,66366259321,1
249,374,2194,694988016,5
250,32,152,5492354,1
251,2,188,1079962948,35
252,67,27,203345845,1
253,66,81,21330556658,4
254,61,180,7973557356,1
255,85,1603,3458690634,2
256,755,185,14889638,1
257,173,675,192966148,2
258,396,2219,8399906546,13
259,12,121,29648742461,1
260,151,894,311489445,1
261,62,188,22430285,1
262,56,2229,115602832415,2
263,2924,538,774716499,1
264,61,1776,71569904,6
265,162,467,21591709,1
266,581,2187,7214888,3
267,98,156,45146745,1
268,1685,894,2683145,1
269,98,638,32978530,3
270,1830,1625,19014673541,6
271,0,1457,649204800,2
272,102,665,250087761,1
273,74,2,168893406,1
274,1214,428,200801463,1
275,1,93,45841558,1
276,0,956,12384120,2
277,25,665,986894861,5
278,150,2248,1345926035,1
279,340,648,7005208,1
280,2127,229,1553737476,1
281,1193,2194,21867170,1
282,73,0,3320944,2
283,38,59,3263026613,1
284,1,564,53547421787,83
285,155,457,32188694,1
286,68,675,4911515489,3
287,2408,762,131323148,2
288,148,323,901878531,1
289,1140,894,268692526,1
290,267,1044,20236120,1
291,55,894,552237965,1
292,2,920,64734305,2
293,222,61,150002545328,2
294,56,474,65892404227,1
295,3,2027,11618435,1
296,2248,2187,7838868722,20
297,2929,1776,1317654528,1
298,5,71,1258672,1
299,23,74,16324016,1
300,21,188,540047,1
301,443,75,5452357,1
302,839,627,770519769,4
303,38,297,2530409265,1
304,395,478,46838000,1
305,32,56,14303672,2
306,131,0,151556306,5
307,3,1397,367966092,15
308,156,188,479605,1
309,242,188,2890557,1
310,148,484,700937991,1
311,0,378,1477400,1
312,0,211,356700,1
313,649,2,2564196678,6
314,1100,1,101093762,3
315,56,182,100231859878,2
316,328,894,7913599,1
317,63,1644,3814375,1
318,20,132,368365075,1
319,38,1143,2303577200,1
320,845,188,3985310,1
321,2530,188,5054436,1
322,38,1757,3722600936,1
323,369,302,360273511,1
324,230,464,2031945860,1
325,1445,376,43519190,1
326,21,74,22461606,1
327,66,0,39771544311,10
328,771,1069,15272466,1
329,1,1635,3904229569,3
330,172,2231,26558548,1
331,113,105,43563533,1
332,244,575,18848389,1
333,374,2248,402200665,4
334,660,662,700820822,1
335,5,1457,6899932,1
