,Source,Target,value,nb_transactions
0,795,12,398351372,2
1,152,590,1363232874,1
2,55,2541,3523058038,4
3,0,1752,1105977,2
4,10,12,37970000,2
5,198,30,719973276,2
6,2433,28,4055075,1
7,1560,2,78861942,1
8,437,2996,18325876,1
9,638,530,39647890,1
10,56,146,1490000,1
11,28,82,57814306,3
12,1457,231,532697482,3
13,1457,252,3458026504,1
14,1257,1281,53435414557,48
15,1560,73,140132648,1
16,824,1089,29990000,1
17,346,11,22064503,1
18,251,0,17370139,1
19,112,158,97629675,2
20,38,543,2944899578,1
21,28,2393,124364044,5
22,2004,12,264185458,1
23,140,28,12205624,1
24,478,984,5161748,1
25,397,54,28227972,1
26,113,399,1440523,1
27,11,319,9830997,1
28,386,850,1220560000,2
29,116,1752,625074930,2
30,56,82,534556468,2
31,28,1478,8282320,1
32,281,2372,2596287276,2
33,2206,1229,68315485,2
34,590,56,66084052,2
35,1893,30,631061906,1
36,38,1269,17831253527,6
37,224,2367,17802000,1
38,49,227,414583088,1
39,0,291,203729,1
40,63,158,19902842510,4
41,41,0,4035171669,6
42,2206,71,1206000,1
43,1,1089,18443757,2
44,0,1083,21333494,4
45,64,198,702657445,2
46,558,1920,3651644,2
47,297,867,700971904,1
48,1935,1449,3108895,1
49,1966,38,153028000,1
50,43,511,558600000,1
51,2276,762,1650024,1
52,12,762,1040865922058,49
53,675,877,17323966,2
54,468,1353,4675714,1
55,1039,1804,73930971,1
56,526,1089,6990000,1
57,1863,2291,1142209,1
58,113,268,40816089,4
59,1267,1732,107903266,1
60,28,1962,12164711,1
61,992,512,4552077,1
62,55,2324,3618676190,3
63,1457,11,42866305,1
64,86,0,5451994,2
65,43,30,1041726096,5
66,45,376,580574000,2
67,468,1016,23618685,1
68,273,0,189750048,1
69,2509,685,197615300,1
70,1010,1245,45922908,1
71,170,1311,51199200,2
72,1257,297,1460292162,2
73,1083,2182,290900006,1
74,41,1776,281787469,1
75,405,2537,33888305,1
76,2206,2,157244431,9
77,2315,1,6156895,1
78,2267,2210,933864025,2
79,122,329,66764442,1
80,215,3067,203401682,2
81,370,12,8734502,2
82,12,850,10879556872838,142
83,84,11,11695995,1
84,85,105,13961230,2
85,1560,2314,19810173,1
86,2499,44,11594081,1
87,12,0,1114403184,24
88,1105,56,121326000,1
89,619,379,56414839564,1
90,95,1449,1689326,1
91,141,478,5910900,1
92,619,3053,243743549166,6
93,970,0,53832395,1
94,291,2538,11690860,1
95,49,179,439411729,1
96,150,2876,2504671252,1
97,1939,2210,33880090,1
98,2683,38,4202944279,1
99,112,1466,921954814,3
100,1214,1281,446000008,1
101,476,245,233914772,1
102,203,11,112211005,3
103,619,1824,245004111796,6
104,73,2210,263513,1
105,575,2133,2011675,1
106,2,118,10316995237,7
107,713,38,17420455,1
108,1039,1045,142110813,3
109,215,762,208532890,1
110,28,2344,60144601,2
111,28,2625,360953166,1
112,64,0,1749192792,5
113,0,82,87784842,1
114,468,1313,63684744,4
115,1,118,64805655,2
116,1119,334,27002000355,2
117,620,11,155129402,6
118,268,2206,2500245,1
119,12,2229,65439973131873,847
120,675,24,6999990000,1
121,112,1435,132401630,2
122,280,146,6907000,1
123,28,2166,11333571,1
124,297,2477,84256095,1
125,370,2248,2254281,1
126,11,0,420749640,3
127,562,2248,40646007,1
128,558,11,24739370,4
129,12,1311,8909220,1
130,132,2636,9743188568,1
131,192,2248,25390000,1
132,2702,528,30740200,1
133,2229,1,2115536989147,81
134,42,43,777086793,1
135,38,304,599994438,1
136,564,61,469985153,1
137,108,76,699980000,1
138,529,152,15810221,1
139,1313,1440,99990000,1
140,698,2182,42694858,2
141,3,1457,1269361,1
142,38,2289,84983471050,22
143,339,283,182299027,2
144,1680,2110,75914300,1
145,405,408,68258148,2
146,1830,0,3785461103,18
147,479,225,15818990,1
148,105,2543,312731473,1
149,1571,619,47223917419,5
150,984,943,89001000000,18
151,2027,40,42478888,1
152,224,984,49999441,1
153,112,95,427165119,6
154,227,1159,12512995,1
155,146,11,24364755,2
156,386,2182,9442153,1
157,12,402,77701793389,1
158,28,1520,60555942,1
159,75,12,815948936,135
160,1457,2897,235970250,2
161,85,54,3321452,1
162,1692,460,27213428,1
163,171,2182,155522394,1
164,0,1305,5241636,3
165,109,1089,118730000,1
166,715,365,7457497,1
167,1313,127,58137372,2
168,182,652,9747482973,2
169,12,2753,77701793389,1
170,1139,12,1214585,1
171,479,2210,499970000,1
172,112,2026,97629675,2
173,49,54,128048217,1
174,365,1089,50388681,3
175,9,762,208750000,1
176,882,1089,50952761,1
177,2,2320,1999141676,1
178,12,634,244968055,1
179,485,619,2999990000,1
180,31,247,25477800,1
181,2,504,15740523869,11
182,49,28,3290000,1
183,28,2091,407156006,2
184,2017,316,16287757,1
185,428,2550,2118226616,3
186,1,2,1460840000,3
187,2,2294,1072970346,1
188,476,110,18423766,1
189,497,1776,29879338,1
190,193,486,17818420,1
191,1671,415,114999544,1
192,150,2182,3130875083,1
193,1,2248,699990000,1
194,2636,38,304684867,2
195,53,2248,53465177,1
196,1433,1920,1868325,3
197,153,11,8477014,1
198,73,1714,11147461,1
199,2206,268,7027332,2
200,478,3015,101960642,1
201,0,2393,94583059,1
202,1257,2182,393415626,1
203,55,426,361458421,2
204,278,1851,21195715,1
205,2002,762,1579917466,2
206,1,2229,189269343678,5
207,83,72,368441904,1
208,185,665,17764877,1
209,811,762,163550456,1
210,113,243,490000,1
211,152,2210,1810575000,1
212,0,648,53810830,5
213,12,382,2520969182,21
214,105,87,401838921,1
215,319,478,878269892,2
216,55,217,268061490,1
217,225,2,6732635,2
218,1004,2936,106875494,1
219,383,82,11094343,1
220,285,12,3058922534,1
221,1679,12,144354567,1
222,25,0,708673541,1
223,12,1216,77701793389,1
224,150,30,1397780153,1
225,199,353,25199970000,3
226,884,118,175655,1
227,105,132,518752306,1
228,575,118,1175485,1
229,227,323,218370000,1
230,126,2507,119690000,1
231,28,2550,22792037,1
232,38,119,22017675624,3
233,560,75,504491333,24
234,112,178,161669383,2
235,376,245,17000000,1
236,1723,1851,855358,1
237,1313,2218,49990000,1
238,297,2229,23639605003,11
239,355,35,1066964,1
240,2871,2210,3506127539,1
241,2091,95,1206511,1
242,11,1305,1862292860,2
243,187,316,519618498,2
244,20,762,2016279491,2
245,12,82,45964286,1
246,1617,2356,12629452,1
247,1011,2210,27290489,1
248,38,18,9492589562,3
249,1,0,476774800,1
250,895,86,126442924,1
251,75,88,1226214,1
252,0,11,396751791,34
253,307,0,33937035,1
254,598,2289,142323719,1
255,2,215,3731358749,3
256,2741,2636,40738929,1
257,135,2246,34801407,1
258,195,56,181339815,1
259,314,146,88191060,1
260,1183,326,103694738,1
261,941,1449,449342142,3
262,1257,2248,4289992312,2
263,2484,460,32121494,1
264,28,2410,27593639,1
265,55,2768,3029608280,2
266,14,54,10443300,2
267,12,13,604907699,1
268,55,2215,268061490,1
269,1634,326,18822213,1
270,63,762,9247950,1
271,1883,2405,34069249,1
272,56,1742,299970000,1
273,0,549,29671417,1
274,1457,796,488221739,1
275,12,1089,2453094295,5
276,55,210,2926233721,1
277,0,365,143136656,1
278,112,7,97629675,2
279,152,1603,169362048,1
280,69,1089,58196554,1
281,11,520,1358113958,1
282,2,414,1836173255,1
283,936,49,5049454427,1
284,43,1776,153760000,1
285,619,1332,71834503076,1
286,38,173,3898459083,2
287,28,3084,52046490,1
288,2206,3089,1844809,1
289,247,2210,33179000,1
290,323,1397,11050582,1
291,46,278,2806446,3
292,218,2210,1030960,1
293,28,1058,60615347,2
294,778,11,165198400,2
295,2509,67,99571900,1
296,55,2636,107306037775,105
297,2,11,398724282320,69
298,61,281,2642542987,2
299,55,355,2926233721,1
300,18,1915,28827148,1
301,105,532,803677842,2
302,11,56,1366899027,1
303,0,56,1882413262,5
304,242,11,15687530,2
305,987,1311,39613400,2
306,12,2990,233105380167,3
307,11,420,3397309,1
308,590,1159,2673501,1
309,323,173,499990000,1
310,503,0,16855179,1
311,397,2935,194868463,2
312,105,119,6325609137,6
313,573,54,261727013,1
314,1057,163,230000,1
315,778,1257,288570000,1
316,243,156,1566609,2
317,313,0,2097700,3
318,63,762,7842464170,2
319,330,1014,2001266,1
320,258,647,66071836,1
321,105,1343,401838921,1
322,198,1440,673953974,1
323,22,2552,127621560,1
324,159,28,302695,1
325,28,0,74683420492,2888
326,64,2,2982266814,9
327,931,2230,30621348,1
328,1136,54,730867,1
329,231,489,5966666,1
330,365,198,530282838,12
331,158,119,5099980000,2
332,114,1867,21998174430,1
333,135,0,2523670256,1
334,61,1732,60818827,1
335,105,1457,14035383720,16
336,387,1229,6256500000,2
337,122,283,211783657,1
338,43,2246,271019907,2
339,112,504,132401630,2
340,2766,11,16916759,1
341,199,1603,3801104936,4
342,105,665,625462946,2
343,1431,0,101939354,1
344,2191,2629,271460,1
345,779,1522,29103173,1
346,1348,1,20850029,1
347,297,638,118704018,1
348,1,850,244199930000,7
349,105,176,1178115062,2
350,1313,2210,2361431788,10
351,844,239,29990000,1
352,43,0,122333161,1
353,37,294,2711833406,1
354,152,1457,2832970288,2
355,1620,708,119663511,2
356,190,514,172225618,1
357,943,365,999990000,1
358,28,2441,52046490,1
359,244,79,3888900,1
360,116,1449,935963060,3
361,866,1457,687395211,2
362,28,239,98832360,4
363,1127,62,16760206,1
364,60,346,174325829,1
365,85,231,172972337,4
366,529,2636,4035818,1
367,1404,2542,1688500000,5
368,2631,756,12775240,1
369,30,365,6743278544,9
370,2,2270,2153656855,2
371,0,2187,8517806,5
372,28,1,16918851,1
373,272,575,660000,1
374,28,2600,22792037,1
375,362,1457,3211650874,2
376,1472,2210,6692499716,1
377,1154,2248,15000060,1
378,2185,61,2610054104,4
379,365,304,204960806,2
380,2,1983,1972088180,1
381,477,2229,1499990000,1
382,132,1281,58732453942,19
383,246,2367,55645872,2
384,250,2246,42704394,1
385,38,3067,1698378394,1
386,55,268,1142924925,5
387,802,297,18205000,1
388,460,1692,11499876,3
389,1004,966,6815938,1
390,2013,1440,499990000,1
391,2626,269,33389682,1
392,12,436,77701793389,1
393,55,7,103374559,1
394,428,850,2271191056,2
395,1190,675,153438901,1
396,17,2750,338324262,2
397,1,12,103253709,7
398,46,529,1999990702,1
399,1367,12,1288341203,2
400,55,38,21223143417,18
401,2042,478,3220915,3
402,16,95,406501535,1
403,1313,940,99990000,1
404,3121,761,1010000,1
405,116,1014,545388345,1
406,389,762,499990000,1
407,2587,2210,214499715,1
408,699,1108,1657380,1
409,55,2507,3006890314,2
410,1041,601,19640542,1
411,2,11,68356547,1
412,44,984,97127188,6
413,28,912,9935755,1
414,150,12,6111669246,2
415,38,1603,103639005109,8
416,64,762,4941156055,10
417,493,1089,32814023,1
418,398,11,6786400,1
419,1087,2,1264635,1
420,60,1524,168237766,1
421,1457,2115,35411350,1
422,2329,850,7020050527,9
423,12,231,2758191429,20
424,590,105,20709774,1
425,61,2372,4717793388,3
426,2022,619,90166519,2
427,1278,1752,46960000,2
428,1457,1674,753852295,1
429,1190,3052,340377802,2
430,0,231,400018300,1
431,943,38,5001169180,1
432,113,478,1533060,3
433,55,330,7420925870,8
434,479,2187,4957224,2
435,0,1440,40272214,4
436,12,403,77701793389,1
437,28,1466,205368496,7
438,113,0,27857475,5
439,88,2541,531512464,1
440,55,260,1079156512,5
441,1142,113,912799,2
442,12,1440,177818800,1
443,150,599,2504671252,1
444,397,478,74719257,1
445,28,1215,31348417,1
446,38,1083,1696919034,1
447,55,2786,2926233721,1
448,71,2,13749682,3
449,291,2581,11690860,1
450,1436,108,742527352,2
451,492,2248,58474038,1
452,113,1592,29879729,1
453,855,2246,91924317,2
454,99,1776,10251873,1
455,95,606,698633657,1
456,1993,984,964711,1
457,1313,215,100818347,1
458,2945,376,14003000,1
459,18,304,16729227,2
460,2,2210,24126947290,17
461,61,1776,16971579169,40
462,95,12,260723576,1
463,105,1019,518752306,1
464,0,118,182367901,2
465,2636,323,333827618,2
466,1539,1089,203408341,1
467,0,1993,26167112,1
468,365,146,128932414,4
469,317,2191,34489413,1
470,308,1920,12255931,2
471,28,25,20738468,1
472,12,2368,77701793389,1
473,63,6,17193088,1
474,12,516,77701793389,1
475,531,54,17881090,1
476,278,2625,21861760,1
477,55,196,5852467442,2
478,2002,376,39899137,1
479,740,0,72263670,1
480,619,1923,29920768912,2
481,55,504,3462356701,3
482,152,2,144781361,3
483,2507,28,3130989,1
484,200,502,99188522,1
485,12,113,34791,1
486,75,17,14983428,2
487,1993,1603,1621903240,1
488,291,460,11690860,1
489,238,762,624855551,1
490,468,984,15547454,1
491,345,62,857435117,2
492,112,2178,398210724,6
493,323,1257,18277895,1
494,150,323,13635256743,4
495,11,121,309433518,2
496,28,331,12164711,1
497,86,319,90017956,1
498,164,1089,15040000,1
499,39,2210,1105755,1
500,166,54,1599962050,2
501,49,241,3095063903,1
502,1697,12,93277858,1
503,55,383,2926233721,1
504,269,177,79173247,1
505,56,118,1172119638,6
506,150,2120,6111669246,2
507,4,132,81999724770,1
508,2,923,9442221298,7
509,154,762,16467774,1
510,28,30,22792037,1
511,28,2726,360953166,1
512,156,146,530000,1
513,239,1732,190608060,1
514,2185,1,156609790,5
515,2,2206,178428427192,43
516,924,2210,9422374,1
517,295,2187,890000,1
518,429,2338,280069241,1
519,484,365,24156629,1
520,381,2405,568044180,1
521,128,762,171351548,1
522,214,2,459464500,1
523,1313,422,1255036731,1
524,204,2210,50000000,1
525,599,2246,173023533,1
526,28,908,16918851,1
527,55,67,268061490,1
528,132,850,65910745354,22
529,55,255,268061490,1
530,239,61,9747249102,8
531,199,2,199990000,1
532,469,1055,896313668,1
533,323,56,199990000,1
534,75,675,2399992000,1
535,824,376,2733153944,24
536,87,1089,4960000,1
537,0,1397,4416605960,20
538,28,1231,79447548,1
539,1332,619,1740792464,1
540,17,762,574149115,1
541,198,38,190936249,1
542,0,152,1076177275,5
543,2209,11,38939549,7
544,2829,762,188726448,1
545,478,44,7020151,1
546,1,95,8231251,1
547,347,118,2604128,2
548,112,24,202902145,2
549,2031,146,475602062,3
550,0,225,1066985934,4
551,28,2826,101305346,1
552,370,984,1074637,1
553,529,56,127944130,1
554,2,119,16010333867,11
555,105,513,3050390606,1
556,121,1058,11877836,1
557,30,11,6369318,1
558,2,323,40193145163,30
559,85,43,110032282,3
560,1,225,24845872,1
561,2327,1313,5663028,4
562,60,2691,4990000,1
563,796,253,211610234,1
564,1257,2185,4362743795,3
565,1340,12,7284828200,3
566,1323,1089,21862118,2
567,297,1281,3640295528,5
568,1001,231,4640529,1
569,0,38,472849,1
570,177,762,98930103,1
571,421,1,5664927260,1
572,257,231,2699990000,1
573,28,1457,48332107,2
574,1652,0,9744237,1
575,70,762,34010289,1
576,323,2006,3421643,1
577,113,762,1841712827,4
578,1083,38,371419469,1
579,77,12,5056701440,2
580,2185,1281,3865721248,6
581,28,2326,101305346,1
582,55,995,371436049,2
583,166,1,24124608,1
584,73,923,353174,1
585,146,1876,4480000,1
586,105,2133,401838921,1
587,2484,257,82350900,3
588,461,877,2942545,1
589,55,779,258083862,1
590,55,572,258083862,1
591,2,2327,12440350311,6
592,4,1107,81999724770,1
593,32,12,16224953,1
594,429,3099,69528068,1
595,76,575,17800457,1
596,2509,1147,413993700,2
597,619,2993,131248497754,4
598,478,0,21516599,5
599,2,365,3553447891,2
600,85,1127,8332995,1
601,2619,954,21292900000,11
602,1809,687,2703703,1
603,2,737,1759950545,1
604,121,762,155452020,1
605,12,894,424191489,1
606,12,2230,77701793389,1
607,0,2479,2982312,2
608,38,54,10467442028,1
609,28,461,110274941,6
610,128,121,1641033913,1
611,63,315,51354853,1
612,105,414,312731473,1
613,512,1449,2099011,2
614,795,119,199175686,1
615,1171,2210,438814921,2
616,297,665,641802683,2
617,2,3055,2293817582,2
618,552,2248,1530315,1
619,0,365,1630438,1
620,1506,648,1702917,1
621,489,43,799994073,2
622,468,413,9492875,1
623,1497,2210,17625022,1
624,1313,16,4517984,2
625,2500,365,8997937,2
626,32,2,8062453,6
627,341,56,157572618,2
628,64,2206,311819463,1
629,12,95,544154446403,8
630,55,1053,2926233721,1
631,55,150,2926233721,1
632,0,227,31096230,1
633,55,665,2926233721,1
634,150,665,12543803368,4
635,234,2,102382961,1
636,246,185,45357936,1
637,312,394,1034578425,1
638,231,796,4403871,1
639,474,0,552769534,2
640,1069,2245,35059093,1
641,17,30,169162131,1
642,20,1633,8795035000,11
643,2301,113,6994075,1
644,792,1920,7990747,2
645,1560,146,433172994,6
646,380,306,550244049,1
647,1457,461,25183366856,7
648,323,113,1133556,1
649,1772,984,25438000,1
650,2327,2541,1195257,1
651,1284,365,121405000,1
652,150,38,23686561852,8
653,79,1257,111349331,1
654,114,2507,12703774133,1
655,1519,2210,16766910,1
656,337,1311,164256000,2
657,471,2909,42378603,1
658,2267,43,299998829,1
659,353,304,77204267,1
660,152,105,993719274,1
661,52,12,743917542,2
662,2786,2182,9664989,1
663,28,1313,2034729097,52
664,77,2500,152844139,2
665,83,912,250240000,1
666,529,2210,86834909,1
667,2206,1478,1543094,1
668,480,382,1199950000,1
669,1,564,26899990000,1
670,225,11,11331033,1
671,146,2425,53101752,2
672,1546,529,1610734,1
673,1466,376,20971322,1
674,2748,1457,251418456,1
675,461,86,997733351,1
676,42,329,30815108,1
677,530,365,20549000,2
678,76,762,799759471,2
679,1287,17,236494660,1
680,2123,2246,124593249,2
681,297,1603,110625139,1
682,264,553,89559053,1
683,76,12,6000118,1
684,152,1440,167230571,1
685,300,2210,34090000,1
686,283,128,29553507,1
687,105,2763,3050390606,1
688,2,677,1947810738,1
689,182,2,6684027810,1
690,0,626,1263611,1
691,665,42,13371972162,1
692,67,1457,100010000,1
693,543,12,676764500,2
694,231,596,3015885,1
695,304,2246,153217835,1
696,912,762,8219937,1
697,2171,2246,26031621,2
698,3015,762,166872363,1
699,1457,2409,938205429,2
700,38,32,35993978,1
701,291,323,11690860,1
702,214,12,65453938,1
703,2341,12,73790000,1
704,2,478,3009737322,2
705,2327,512,1721257,1
706,13,1078,456449205,1
707,85,1,6851600,1
708,55,912,268061490,1
709,60,378,46460116,1
710,202,30,12505917,1
711,504,1089,11356769,2
712,20,2246,28602857,1
713,1935,0,5649951,2
714,55,442,2926233721,1
715,2918,2206,2270000,1
716,469,2210,682889152,1
717,613,762,105701298,1
718,1,448,3457700,1
719,2,1380,3105199539,2
720,1560,76,12991625,1
721,0,1154,373650,1
722,959,1920,540000,1
723,38,429,10888121754,2
724,372,12,1193654,1
725,56,76,938633119,1
726,63,304,153841342,1
727,319,118,439134946,1
728,1,762,1011733195,10
729,55,1019,258083862,1
730,1,1920,983030000,2
731,1611,227,9357908660,2
732,240,153,701177882,1
733,496,11,33055253,2
734,392,43,175329729,1
735,122,676,134944663,1
736,1014,2,287791997,12
737,0,32,941762,3
738,9,30,560870000,1
739,445,82,276421024,8
740,214,2210,701866772,1
741,56,1457,16005879476,14
742,55,621,268061490,1
743,353,62,2505091140,2
744,55,435,2926233721,1
745,0,1449,1061880495,4
746,12,824,156007443,1
747,1,1776,56549284,2
748,441,38,28547189000,3
749,610,316,44465915,2
750,12,2340,77701793389,1
751,1374,365,133910000,2
752,198,2210,15931942034,8
753,38,198,728014433,2
754,259,2210,8857592,1
755,113,1305,2469655,2
756,113,95,5300026,4
757,79,1440,18440000,1
758,73,12,6442110,5
759,416,762,112130543,2
760,55,281,2926233721,1
761,2,0,502739456280,263
762,61,867,56338147378,13
763,101,478,1419001,1
764,83,2210,206796189,1
765,28,665,1534807424,71
766,1877,1920,1587753,1
767,113,73,1550932,3
768,653,56,146272742,1
769,304,75,209087,1
770,286,12,2531144027,3
771,1018,847,82105754,1
772,365,1088,138980947,1
773,5,146,15210000,1
774,387,859,5925850000,2
775,150,185,2504671252,1
776,111,30,157847300,1
777,28,2541,731904936,10
778,62,362,2302751913,2
779,397,617,168119000,1
780,28,1449,2081213850,21
781,121,2246,74987171,1
782,77,365,1475330415,43
783,330,923,17345877,1
784,297,853,92537655,1
785,105,1305,3291218903,5
786,116,73,401597045,1
787,116,2246,23004309,1
788,55,2897,258083862,1
789,12,1153,1013674,1
790,276,225,228829386,3
791,386,330,1115425,1
792,24,1466,516173668,3
793,61,56,1161054347,3
794,330,1752,10028436,1
795,575,113,51872709,1
796,1922,1311,13410000,1
797,41,762,11870109,1
798,1037,478,3289834,1
799,2,486,2940742978,2
800,330,2,6119057,4
801,121,365,126713348,1
802,108,1305,77421017,1
803,28,1752,4347130663,35
804,359,2187,88986303,3
805,28,2182,109160271,4
806,488,2376,26742490,9
807,56,113,1101411,1
808,193,2210,96953020,1
809,0,152,16146025,4
810,795,1560,199175686,1
811,867,850,3140385530,6
812,0,12,3608187711,17
813,468,1702,30818475,2
