,Source,Target,value,nb_transactions
0,937,56,869681788,2
1,20,2183,4425545433,1
2,2,509,102142255,1
3,444,894,199290215,2
4,0,378,6530072,1
5,1,648,26955210,3
6,1811,894,151693366,1
7,2,95,350386466,4
8,30,1440,5823817,1
9,1143,29,2593670,1
10,33,484,73015105,1
11,242,648,28570011,1
12,484,2288,2198560,1
13,1026,11,3947030,1
14,412,1701,15873318,1
15,79,902,6000268,1
16,1350,188,107461900,2
17,32,2580,304992,1
18,0,130,2460385,1
19,359,56,1001182525,1
20,24,11,207117500,1
21,15,2362,105965735,2
22,30,575,1506868,1
23,359,1,1506285060,2
24,211,188,4422331,1
25,199,61,41247917904,6
26,85,1,188276033,15
27,61,1257,35449366050,57
28,155,467,100060000,1
29,148,648,625147757,2
30,523,905,5282111,2
31,152,175,320104906,1
32,1218,53,90694446,1
33,85,39,285553032,3
34,227,11,5433838,1
35,25,2,1047551,1
36,56,879,7000358246,2
37,370,894,223821800,2
38,194,2210,40460535,1
39,12,1734,28764338707,1
40,187,190,6314557,1
41,8,32,24767796115,3
42,654,188,5178490,1
43,484,1714,46550925,2
44,2,894,5894620031,34
45,85,374,1073425,2
46,2,63,521600535,8
47,1105,56,86804650,1
48,565,2210,855815627,3
49,76,304,10780160,1
50,79,2,29333674,24
51,38,1572,43581198452,5
52,40,95,17831073,1
53,12,11,11509037,1
54,86,2210,979637340,3
55,582,2291,2824177,1
56,132,2470,2319720000,1
57,11,648,15161687,1
58,138,923,859509223,2
59,676,63,71633107,1
60,0,2215,11151708,5
61,138,648,1870572051,2
62,2629,2433,99947470,1
63,298,0,5024201,1
64,38,894,5326900,1
65,515,1644,6800337,2
66,64,204,60945836,1
67,2289,984,519978493,1
68,830,279,122972966,1
69,845,553,57455044,1
70,132,894,794924478,4
71,301,482,944477570,1
72,1,821,254917780,2
73,37,94,5546531600,1
74,3026,131,528980000,1
75,839,12,77394996,1
76,1350,228,344453000,1
77,56,182,11377305944,4
78,73,648,7294603,2
79,1030,0,184024883,1
80,335,188,21552090,1
81,167,2248,24499450468,17
82,61,2223,107169273,2
83,2131,0,2442152,1
84,374,870,111908936,1
85,1981,11,13828391,2
86,116,44,50978386,2
87,376,324,39890400,1
88,162,340,304349184,3
89,244,148,1209898000,2
90,76,246,199170950,7
91,1552,2131,44150000,1
92,376,340,42948758,3
93,376,1445,106901623,4
94,113,648,11587379,2
95,138,484,524014845,2
96,374,665,145201592,1
97,126,227,2874425800,1
98,389,905,115279619,1
99,3,56,1081069504,18
100,371,0,13022369438,1
101,152,44,592087617,2
102,3,2305,230733954,4
103,30,2210,40831111,3
104,2717,2210,799522900,3
105,25,56,3080523885,21
106,199,297,549981920,1
107,928,590,287486825,2
108,33,204,799975140,1
109,444,2248,91420789,1
110,14,367,401194380,1
111,3120,132,69925420,1
112,416,897,18393665,1
113,215,11,1790000,1
114,102,607,2485512332,1
